Archivo,sis,dias,map,fc,sat,etco2,vt
s1_0626.tiff,,55,,134,98,,
s1_0627.tiff,92,54,,134,97,,
s1_0628.tiff,92,5,,134,97,,7
s1_0629.tiff,92,5,,134,98,,
s1_0630.tiff,,55,,134,98,,
s1_0631.tiff,94,55,,134,98,,
s1_0632.tiff,92,,,134,98,,
s1_0633.tiff,92,54,,134,,,0
s1_0634.tiff,,5,,134,98,,5
s1_0635.tiff,92,5,,134,98,,
s1_0636.tiff,95,55,,134,98,,2
s1_0637.tiff,95,55,,134,98,,0
s1_0638.tiff,95,55,,134,98,,30
s1_0639.tiff,,54,,134,98,,
s1_0640.tiff,92,5,,134,98,,
s1_0641.tiff,93,,,134,,5,0
s1_0642.tiff,95,55,2,134,98,,
s1_0643.tiff,95,55,2,134,398,,
s1_0644.tiff,95,55,,134,98,,5
s1_0645.tiff,92,54,,134,98,,
s1_0646.tiff,92,54,,134,98,,
s1_0647.tiff,93,5,,134,99,,
s1_0648.tiff,95,55,,134,99,,5
s1_0649.tiff,95,55,2,134,99,,
s1_0650.tiff,9,5,,134,99,0,
s1_0651.tiff,92,5,,134,99,0,
s1_0652.tiff,92,5,,134,99,,
s1_0653.tiff,93,54,,134,99,,
s1_0654.tiff,95,55,,134,99,,
s1_0655.tiff,95,55,,134,99,,7
s1_0656.tiff,95,55,,134,99,,
s1_0657.tiff,92,5,,135,99,,
s1_0658.tiff,92,5,,135,99,,
s1_0659.tiff,93,54,,135,98,0,0
s1_0660.tiff,4,55,,135,98,0,0
s1_0661.tiff,4,55,,135,98,,
s1_0662.tiff,4,55,,134,98,,
s1_0663.tiff,92,5,7,135,98,,
s1_0664.tiff,92,54,,134,98,,9
